term_id,term,term_type,status,notes
trm_gh-repo-google-adk-js,GH Repo: google/adk-js,Project,active,github official repository
trm_gh-repo-google-adk-python,GH Repo: google/adk-python,Project,active,github official repository
trm_gh-repo-google-adk-samples,GH Repo: google/adk-samples,Project,active,github official repository
trm_gh-repo-google-adk-web,GH Repo: google/adk-web,Project,active,github official repository
trm_gh-repo-google-eclipsa-audio-plugin,GH Repo: google/eclipsa-audio-plugin,Project,active,github official repository
trm_gh-repo-google-embardiment,GH Repo: google/embardiment,Project,active,github official repository
trm_gh-repo-google-evt-air-risk-aiaa-scitech-2026,GH Repo: google/evt-air-risk-aiaa-scitech-2026,Project,active,github official repository
trm_gh-repo-google-gemma-unity-plugin,GH Repo: google/gemma-unity-plugin,Project,active,github official repository
trm_gh-repo-google-hackable-diffusion,GH Repo: google/hackable_diffusion,Project,active,github official repository
trm_gh-repo-google-langextract,GH Repo: google/langextract,Project,active,github official repository
trm_gh-repo-google-llm-sidebar-with-context,GH Repo: google/llm-sidebar-with-context,Project,active,github official repository
trm_gh-repo-google-ml-flashpoint,GH Repo: google/ml-flashpoint,Project,active,github official repository
trm_gh-repo-google-mobly-bluetooth-ref-validation,GH Repo: google/mobly-bluetooth-ref-validation,Project,active,github official repository
trm_gh-repo-google-pubmed-rag,GH Repo: google/pubmed-rag,Project,active,github official repository
trm_gh-repo-google-rago,GH Repo: google/rago,Project,active,github official repository
trm_gh-repo-google-ragvis,GH Repo: google/ragvis,Project,active,github official repository
trm_gh-repo-google-saif-data,GH Repo: google/saif-data,Project,active,github official repository
trm_gh-repo-google-sec-gemini,GH Repo: google/sec-gemini,Project,active,github official repository
trm_gh-repo-google-torchax,GH Repo: google/torchax,Project,active,github official repository
trm_gh-repo-google-tunix,GH Repo: google/tunix,Project,active,github official repository
trm_gh-repo-google-unblocking-detail-caption,GH Repo: google/unblocking-detail-caption,Project,active,github official repository
trm_gh-repo-google-xrblocks,GH Repo: google/xrblocks,Project,active,github official repository
trm_gh-repo-huggingface-agents-course,GH Repo: huggingface/agents-course,Project,active,github official repository
trm_gh-repo-huggingface-ai-blueprint,GH Repo: huggingface/ai-blueprint,Project,active,github official repository
trm_gh-repo-huggingface-ai-deadlines,GH Repo: huggingface/ai-deadlines,Project,active,github official repository
trm_gh-repo-huggingface-ai-hardware-leaderboard,GH Repo: huggingface/ai-hardware-leaderboard,Project,active,github official repository
trm_gh-repo-huggingface-aisheets,GH Repo: huggingface/aisheets,Project,active,github official repository
trm_gh-repo-huggingface-arena-hard-auto,GH Repo: huggingface/arena-hard-auto,Project,active,github official repository
trm_gh-repo-huggingface-candle-wax,GH Repo: huggingface/candle_wax,Project,active,github official repository
trm_gh-repo-huggingface-community-evals,GH Repo: huggingface/community-evals,Project,active,github official repository
trm_gh-repo-huggingface-datasets-course,GH Repo: huggingface/datasets-course,Project,active,github official repository
trm_gh-repo-huggingface-dell-ai,GH Repo: huggingface/dell-ai,Project,active,github official repository
trm_gh-repo-huggingface-egl-probe,GH Repo: huggingface/egl_probe,Project,active,github official repository
trm_gh-repo-huggingface-ember,GH Repo: huggingface/ember,Project,active,github official repository
trm_gh-repo-huggingface-gorilla,GH Repo: huggingface/gorilla,Project,active,github official repository
trm_gh-repo-huggingface-gpt-oss-recipes,GH Repo: huggingface/gpt-oss-recipes,Project,active,github official repository
trm_gh-repo-huggingface-hf-agent,GH Repo: huggingface/hf_agent,Project,active,github official repository
trm_gh-repo-huggingface-hfendpoints,GH Repo: huggingface/hfendpoints,Project,active,github official repository
trm_gh-repo-huggingface-hugex,GH Repo: huggingface/hugex,Project,active,github official repository
trm_gh-repo-huggingface-huggingface-gemma-recipes,GH Repo: huggingface/huggingface-gemma-recipes,Project,active,github official repository
trm_gh-repo-huggingface-huggingface-vscode-chat,GH Repo: huggingface/huggingface-vscode-chat,Project,active,github official repository
trm_gh-repo-huggingface-inference-providers-starter-app,GH Repo: huggingface/inference-providers-starter-app,Project,active,github official repository
trm_gh-repo-huggingface-jupyter-agent,GH Repo: huggingface/jupyter-agent,Project,active,github official repository
trm_gh-repo-huggingface-llm-course,GH Repo: huggingface/llm-course,Project,active,github official repository
trm_gh-repo-huggingface-lor-e,GH Repo: huggingface/lor-e,Project,active,github official repository
trm_gh-repo-huggingface-lora-fast,GH Repo: huggingface/lora-fast,Project,active,github official repository
trm_gh-repo-huggingface-mcp-bench,GH Repo: huggingface/mcp-bench,Project,active,github official repository
trm_gh-repo-huggingface-mergekit,GH Repo: huggingface/mergekit,Project,active,github official repository
trm_gh-repo-huggingface-meta-agents-research-environments,GH Repo: huggingface/meta-agents-research-environments,Project,active,github official repository
trm_gh-repo-huggingface-multi-if,GH Repo: huggingface/Multi-IF,Project,active,github official repository
trm_gh-repo-huggingface-nanovlm,GH Repo: huggingface/nanoVLM,Project,active,github official repository
trm_gh-repo-huggingface-new-model-addition-cwm,GH Repo: huggingface/new-model-addition-cwm,Project,active,github official repository
trm_gh-repo-huggingface-optimum-onnx,GH Repo: huggingface/optimum-onnx,Project,active,github official repository
trm_gh-repo-huggingface-prime,GH Repo: huggingface/prime,Project,active,github official repository
trm_gh-repo-huggingface-qwen2-5-coder,GH Repo: huggingface/Qwen2.5-Coder,Project,active,github official repository
trm_gh-repo-huggingface-responses-js,GH Repo: huggingface/responses.js,Project,active,github official repository
trm_gh-repo-huggingface-screenenv,GH Repo: huggingface/screenenv,Project,active,github official repository
trm_gh-repo-huggingface-screensuite,GH Repo: huggingface/screensuite,Project,active,github official repository
trm_gh-repo-huggingface-swift-huggingface,GH Repo: huggingface/swift-huggingface,Project,active,github official repository
trm_gh-repo-huggingface-tau2-bench,GH Repo: huggingface/tau2-bench,Project,active,github official repository
trm_gh-repo-huggingface-torchtitan,GH Repo: huggingface/torchtitan,Project,active,github official repository
trm_gh-repo-huggingface-transformers-research-projects,GH Repo: huggingface/transformers-research-projects,Project,active,github official repository
trm_gh-repo-huggingface-transformers-js-benchmarking,GH Repo: huggingface/transformers.js-benchmarking,Project,active,github official repository
trm_gh-repo-huggingface-trl-jobs,GH Repo: huggingface/trl-jobs,Project,active,github official repository
trm_gh-repo-huggingface-ultravox,GH Repo: huggingface/ultravox,Project,active,github official repository
trm_gh-repo-huggingface-upskill,GH Repo: huggingface/upskill,Project,active,github official repository
trm_gh-repo-huggingface-video-dataset-scripts,GH Repo: huggingface/video-dataset-scripts,Project,active,github official repository
trm_gh-repo-huggingface-vllm-dca,GH Repo: huggingface/vllm-dca,Project,active,github official repository
trm_gh-repo-huggingface-wikirace-llms,GH Repo: huggingface/wikirace-llms,Project,active,github official repository
trm_gh-repo-huggingface-yourbench,GH Repo: huggingface/yourbench,Project,active,github official repository
trm_gh-repo-meta-llama-codellama,GH Repo: meta-llama/codellama,Project,active,github official repository
trm_gh-repo-meta-llama-llama,GH Repo: meta-llama/llama,Project,active,github official repository
trm_gh-repo-meta-llama-llama-cookbook,GH Repo: meta-llama/llama-cookbook,Project,active,github official repository
trm_gh-repo-meta-llama-llama-models,GH Repo: meta-llama/llama-models,Project,active,github official repository
trm_gh-repo-meta-llama-llama-verifications,GH Repo: meta-llama/llama-verifications,Project,active,github official repository
trm_gh-repo-meta-llama-prompt-ops,GH Repo: meta-llama/prompt-ops,Project,active,github official repository
trm_gh-repo-meta-llama-purplellama,GH Repo: meta-llama/PurpleLlama,Project,active,github official repository
trm_gh-repo-mistralai-agent-client-protocol,GH Repo: mistralai/agent-client-protocol,Project,active,github official repository
trm_gh-repo-mistralai-client-js,GH Repo: mistralai/client-js,Project,active,github official repository
trm_gh-repo-mistralai-client-python,GH Repo: mistralai/client-python,Project,active,github official repository
trm_gh-repo-mistralai-client-ts,GH Repo: mistralai/client-ts,Project,active,github official repository
trm_gh-repo-mistralai-cookbook,GH Repo: mistralai/cookbook,Project,active,github official repository
trm_gh-repo-mistralai-fastchat-release,GH Repo: mistralai/FastChat-release,Project,active,github official repository
trm_gh-repo-mistralai-flyte,GH Repo: mistralai/flyte,Project,active,github official repository
trm_gh-repo-mistralai-gateway-api-inference-extension-public,GH Repo: mistralai/gateway-api-inference-extension-public,Project,active,github official repository
trm_gh-repo-mistralai-llm-d-inference-scheduler-public,GH Repo: mistralai/llm-d-inference-scheduler-public,Project,active,github official repository
trm_gh-repo-mistralai-llm-d-kv-cache-manager-public,GH Repo: mistralai/llm-d-kv-cache-manager-public,Project,active,github official repository
trm_gh-repo-mistralai-mistral-common,GH Repo: mistralai/mistral-common,Project,active,github official repository
trm_gh-repo-mistralai-mistral-evals,GH Repo: mistralai/mistral-evals,Project,active,github official repository
trm_gh-repo-mistralai-mistral-inference,GH Repo: mistralai/mistral-inference,Project,active,github official repository
trm_gh-repo-mistralai-mistral-vibe,GH Repo: mistralai/mistral-vibe,Project,active,github official repository
trm_gh-repo-mistralai-sagemaker-docs,GH Repo: mistralai/sagemaker-docs,Project,active,github official repository
trm_gh-repo-mistralai-tensorrt-llm,GH Repo: mistralai/TensorRT-LLM,Project,active,github official repository
trm_gh-repo-mistralai-transformers-release,GH Repo: mistralai/transformers-release,Project,active,github official repository
trm_gh-repo-mistralai-vllm-release,GH Repo: mistralai/vllm-release,Project,active,github official repository
trm_gh-repo-openai-bugbounty-gpt,GH Repo: openai/bugbounty-gpt,Project,active,github official repository
trm_gh-repo-openai-chatgpt-retrieval-plugin,GH Repo: openai/chatgpt-retrieval-plugin,Project,active,github official repository
trm_gh-repo-openai-chef-cookbook-hostname,GH Repo: openai/chef-cookbook-hostname,Project,active,github official repository
trm_gh-repo-openai-codex,GH Repo: openai/codex,Project,active,github official repository
trm_gh-repo-openai-completions-responses-migration-pack,GH Repo: openai/completions-responses-migration-pack,Project,active,github official repository
trm_gh-repo-openai-compose-richtext,GH Repo: openai/compose-richtext,Project,active,github official repository
trm_gh-repo-openai-consistency-models,GH Repo: openai/consistency_models,Project,active,github official repository
trm_gh-repo-openai-consistency-models-cifar10,GH Repo: openai/consistency_models_cifar10,Project,active,github official repository
trm_gh-repo-openai-dalle3-eval-samples,GH Repo: openai/dalle3-eval-samples,Project,active,github official repository
trm_gh-repo-openai-dallify-discord-bot,GH Repo: openai/dallify-discord-bot,Project,active,github official repository
trm_gh-repo-openai-emoclassifiers,GH Repo: openai/emoclassifiers,Project,active,github official repository
trm_gh-repo-openai-evals,GH Repo: openai/evals,Project,active,github official repository
trm_gh-repo-openai-frontier-evals,GH Repo: openai/frontier-evals,Project,active,github official repository
trm_gh-repo-openai-gabriel,GH Repo: openai/GABRIEL,Project,active,github official repository
trm_gh-repo-openai-gpt-5-coding-examples,GH Repo: openai/gpt-5-coding-examples,Project,active,github official repository
trm_gh-repo-openai-gpt-discord-bot,GH Repo: openai/gpt-discord-bot,Project,active,github official repository
trm_gh-repo-openai-gpt-oss,GH Repo: openai/gpt-oss,Project,active,github official repository
trm_gh-repo-openai-gpt-oss-safeguard,GH Repo: openai/gpt-oss-safeguard,Project,active,github official repository
trm_gh-repo-openai-gpts-are-gpts,GH Repo: openai/GPTs-are-GPTs,Project,active,github official repository
trm_gh-repo-openai-harmony,GH Repo: openai/harmony,Project,active,github official repository
trm_gh-repo-openai-human-eval-infilling,GH Repo: openai/human-eval-infilling,Project,active,github official repository
trm_gh-repo-openai-main-branch-check-action,GH Repo: openai/main-branch-check-action,Project,active,github official repository
trm_gh-repo-openai-mle-bench,GH Repo: openai/mle-bench,Project,active,github official repository
trm_gh-repo-openai-model-spec,GH Repo: openai/model_spec,Project,active,github official repository
trm_gh-repo-openai-openai-agents-js,GH Repo: openai/openai-agents-js,Project,active,github official repository
trm_gh-repo-openai-openai-agents-python,GH Repo: openai/openai-agents-python,Project,active,github official repository
trm_gh-repo-openai-openai-apps-sdk-examples,GH Repo: openai/openai-apps-sdk-examples,Project,active,github official repository
trm_gh-repo-openai-openai-assistants-quickstart,GH Repo: openai/openai-assistants-quickstart,Project,active,github official repository
trm_gh-repo-openai-openai-builder-lab,GH Repo: openai/openai-builder-lab,Project,active,github official repository
trm_gh-repo-openai-openai-builder-lab-solution,GH Repo: openai/openai-builder-lab-solution,Project,active,github official repository
trm_gh-repo-openai-openai-chatkit-advanced-samples,GH Repo: openai/openai-chatkit-advanced-samples,Project,active,github official repository
trm_gh-repo-openai-openai-chatkit-starter-app,GH Repo: openai/openai-chatkit-starter-app,Project,active,github official repository
trm_gh-repo-openai-openai-cookbook,GH Repo: openai/openai-cookbook,Project,active,github official repository
trm_gh-repo-openai-openai-cs-agents-demo,GH Repo: openai/openai-cs-agents-demo,Project,active,github official repository
trm_gh-repo-openai-openai-cua-sample-app,GH Repo: openai/openai-cua-sample-app,Project,active,github official repository
trm_gh-repo-openai-openai-deno-build,GH Repo: openai/openai-deno-build,Project,active,github official repository
trm_gh-repo-openai-openai-dotnet,GH Repo: openai/openai-dotnet,Project,active,github official repository
trm_gh-repo-openai-openai-fm,GH Repo: openai/openai-fm,Project,active,github official repository
trm_gh-repo-openai-openai-go,GH Repo: openai/openai-go,Project,active,github official repository
trm_gh-repo-openai-openai-guardrails-js,GH Repo: openai/openai-guardrails-js,Project,active,github official repository
trm_gh-repo-openai-openai-guardrails-python,GH Repo: openai/openai-guardrails-python,Project,active,github official repository
trm_gh-repo-openai-openai-icpc-2025,GH Repo: openai/openai-icpc-2025,Project,active,github official repository
trm_gh-repo-openai-openai-java,GH Repo: openai/openai-java,Project,active,github official repository
trm_gh-repo-openai-openai-knowledge-retrieval,GH Repo: openai/openai-knowledge-retrieval,Project,active,github official repository
trm_gh-repo-openai-openai-mcpkit,GH Repo: openai/openai-mcpkit,Project,active,github official repository
trm_gh-repo-openai-openai-quickstart-node,GH Repo: openai/openai-quickstart-node,Project,active,github official repository
trm_gh-repo-openai-openai-realtime-agents,GH Repo: openai/openai-realtime-agents,Project,active,github official repository
trm_gh-repo-openai-openai-realtime-api-beta,GH Repo: openai/openai-realtime-api-beta,Project,active,github official repository
trm_gh-repo-openai-openai-realtime-console,GH Repo: openai/openai-realtime-console,Project,active,github official repository
trm_gh-repo-openai-openai-realtime-embedded,GH Repo: openai/openai-realtime-embedded,Project,active,github official repository
trm_gh-repo-openai-openai-realtime-solar-system,GH Repo: openai/openai-realtime-solar-system,Project,active,github official repository
trm_gh-repo-openai-openai-realtime-twilio-demo,GH Repo: openai/openai-realtime-twilio-demo,Project,active,github official repository
trm_gh-repo-openai-openai-reflect,GH Repo: openai/openai-reflect,Project,active,github official repository
trm_gh-repo-openai-openai-responses-starter-app,GH Repo: openai/openai-responses-starter-app,Project,active,github official repository
trm_gh-repo-openai-openai-ruby,GH Repo: openai/openai-ruby,Project,active,github official repository
trm_gh-repo-openai-openai-security-bots,GH Repo: openai/openai-security-bots,Project,active,github official repository
trm_gh-repo-openai-openai-sora-sample-app,GH Repo: openai/openai-sora-sample-app,Project,active,github official repository
trm_gh-repo-openai-openai-structured-outputs-samples,GH Repo: openai/openai-structured-outputs-samples,Project,active,github official repository
trm_gh-repo-openai-openai-support-agent-demo,GH Repo: openai/openai-support-agent-demo,Project,active,github official repository
trm_gh-repo-openai-openai-testing-agent-demo,GH Repo: openai/openai-testing-agent-demo,Project,active,github official repository
trm_gh-repo-openai-openai-voice-agent-sdk-sample,GH Repo: openai/openai-voice-agent-sdk-sample,Project,active,github official repository
trm_gh-repo-openai-plugins-quickstart,GH Repo: openai/plugins-quickstart,Project,active,github official repository
trm_gh-repo-openai-point-e,GH Repo: openai/point-e,Project,active,github official repository
trm_gh-repo-openai-prm800k,GH Repo: openai/prm800k,Project,active,github official repository
trm_gh-repo-openai-safety-rbr-code-and-data,GH Repo: openai/safety-rbr-code-and-data,Project,active,github official repository
trm_gh-repo-openai-simple-evals,GH Repo: openai/simple-evals,Project,active,github official repository
trm_gh-repo-openai-swarm,GH Repo: openai/swarm,Project,active,github official repository
trm_gh-repo-openai-swelancer-benchmark,GH Repo: openai/SWELancer-Benchmark,Project,active,github official repository
trm_gh-repo-openai-tiktoken,GH Repo: openai/tiktoken,Project,active,github official repository
trm_gh-repo-openai-transformer-debugger,GH Repo: openai/transformer-debugger,Project,active,github official repository
trm_gh-repo-openai-video-pre-training,GH Repo: openai/Video-Pre-Training,Project,active,github official repository
trm_gh-repo-openai-web-crawl-q-and-a-example,GH Repo: openai/web-crawl-q-and-a-example,Project,active,github official repository
trm_gh-repo-openai-whisper,GH Repo: openai/whisper,Project,active,github official repository
trm_gh-repo-tencent-ai-infra-guard,GH Repo: Tencent/AI-Infra-Guard,Project,active,github official repository
trm_gh-repo-tencent-aicgseceval,GH Repo: Tencent/AICGSecEval,Project,active,github official repository
trm_gh-repo-tencent-angelslim,GH Repo: Tencent/AngelSlim,Project,active,github official repository
trm_gh-repo-tencent-blazerml-tvm,GH Repo: Tencent/BlazerML-tvm,Project,active,github official repository
trm_gh-repo-tencent-cognitivekernel-pro,GH Repo: Tencent/CognitiveKernel-Pro,Project,active,github official repository
trm_gh-repo-tencent-embedx,GH Repo: Tencent/embedx,Project,active,github official repository
trm_gh-repo-tencent-fast-causal-inference,GH Repo: Tencent/fast-causal-inference,Project,active,github official repository
trm_gh-repo-tencent-finllm-eval,GH Repo: Tencent/finLLM-Eval,Project,active,github official repository
trm_gh-repo-tencent-haplovlm,GH Repo: Tencent/HaploVLM,Project,active,github official repository
trm_gh-repo-tencent-hel,GH Repo: Tencent/hel,Project,active,github official repository
trm_gh-repo-tencent-hpc-ops,GH Repo: Tencent/hpc-ops,Project,active,github official repository
trm_gh-repo-tencent-ksanadit,GH Repo: Tencent/KsanaDiT,Project,active,github official repository
trm_gh-repo-tencent-ksanallm,GH Repo: Tencent/KsanaLLM,Project,active,github official repository
trm_gh-repo-tencent-lightdiffusionflow,GH Repo: Tencent/LightDiffusionFlow,Project,active,github official repository
trm_gh-repo-tencent-llm-hunyuan-t1,GH Repo: Tencent/llm.hunyuan.T1,Project,active,github official repository
trm_gh-repo-tencent-nf-tencentcloud,GH Repo: Tencent/nf-tencentcloud,Project,active,github official repository
trm_gh-repo-tencent-raif,GH Repo: Tencent/RAIF,Project,active,github official repository
trm_gh-repo-tencent-selfevolvingagent,GH Repo: Tencent/SelfEvolvingAgent,Project,active,github official repository
trm_gh-repo-tencent-tat-agent,GH Repo: Tencent/tat-agent,Project,active,github official repository
trm_gh-repo-tencent-tclainit,GH Repo: Tencent/TClaInit,Project,active,github official repository
trm_gh-repo-tencent-tdesign-miniprogram-starter-retail,GH Repo: Tencent/tdesign-miniprogram-starter-retail,Project,active,github official repository
trm_gh-repo-tencent-tencentkonasmsuite,GH Repo: Tencent/TencentKonaSMSuite,Project,active,github official repository
trm_gh-repo-tencent-tencentpretrain,GH Repo: Tencent/TencentPretrain,Project,active,github official repository
trm_gh-repo-tencent-vita,GH Repo: Tencent/VITA,Project,active,github official repository
trm_gh-repo-tencent-wedlm,GH Repo: Tencent/WeDLM,Project,active,github official repository
trm_gh-repo-tencent-weknora,GH Repo: Tencent/WeKnora,Project,active,github official repository
trm_gh-repo-tencent-wildspeech-bench,GH Repo: Tencent/WildSpeech-Bench,Project,active,github official repository
trm_gh-repo-tencent-yolo-master,GH Repo: Tencent/YOLO-Master,Project,active,github official repository
trm_gh-repo-xai-org-grok-prompts,GH Repo: xai-org/grok-prompts,Project,active,github official repository
trm_gh-repo-xai-org-xai-cookbook,GH Repo: xai-org/xai-cookbook,Project,active,github official repository
trm_gh-repo-xai-org-xai-proto,GH Repo: xai-org/xai-proto,Project,active,github official repository
trm_gh-repo-xai-org-xai-sdk-python,GH Repo: xai-org/xai-sdk-python,Project,active,github official repository
trm_glm-coding-plan,GLM Coding Plan,Product,active,智谱订阅方案
trm_glm-in-excel,GLM in Excel,Product,active,智谱Excel插件
trm_glm-5,GLM-5,Model,active,智谱新模型传闻
trm_google,Google,Company,active,含Gemini/Stitch/Chrome线
trm_google-ai-studio,Google AI Studio,Product,active,谷歌开发平台更新
trm_google-stitch-figma-export,Google Stitch Figma Export,Product,active,Figma导出
trm_gpt-5-2,GPT-5.2,Model,active,路由/升级目标
trm_gpt-5-2-instant,GPT-5.2 Instant,Model,active,OpenAI更新型号
trm_gpt-5-3-codex,GPT-5.3-Codex,Model,active,编程模型
trm_greg-brockman,Greg Brockman,Person,active,wikidata founder relation
trm_grok,Grok,Product,active,external expansion from official source
